player_id,name,height,weight,team,position,team_id
201959,Taj Gibson,6-9,232.0,CHA,Forward,1610612766.0
1630581,Josh Giddey,6-8,216.0,CHI,Guard,1610612741.0
1628983,Shai Gilgeous-Alexander,6-6,195.0,OKC,Guard,1610612760.0
1630264,Anthony Gill,6-8,230.0,WAS,Forward,1610612764.0
1631221,Collin Gillespie,6-1,195.0,PHX,Guard,1610612756.0
203497,Rudy Gobert,7-1,258.0,MIN,Center,1610612750.0
1630692,Jordan Goodwin,6-5,215.0,PHX,Guard,1610612756.0
203932,Aaron Gordon,6-8,235.0,DEN,Forward,1610612743.0
201569,Eric Gordon,6-3,215.0,PHI,Guard,1610612755.0
1641789,Jazian Gortman,6-2,184.0,,Guard,
203924,Jerami Grant,6-7,210.0,POR,Forward,1610612757.0
1631260,AJ Green,6-4,190.0,MIL,Guard,1610612749.0
203110,Draymond Green,6-6,230.0,GSW,Forward,1610612744.0
1630224,Jalen Green,6-4,186.0,PHX,Guard,1610612756.0
1629750,Javonte Green,6-5,205.0,CLE,Guard,1610612739.0
201145,Jeff Green,6-8,235.0,HOU,Forward,1610612745.0
1630182,Josh Green,6-5,200.0,CHA,Guard,1610612766.0
1629656,Quentin Grimes,6-4,210.0,PHI,Guard,1610612755.0
1631243,Mouhamed Gueye,6-10,210.0,ATL,Forward,1610612737.0
1629060,Rui Hachimura,6-8,230.0,LAL,Forward,1610612747.0
1630169,Tyrese Haliburton,6-5,185.0,IND,Guard,1610612754.0
1641790,PJ Hall,6-10,245.0,MEM,Center,1610612763.0
203501,Tim Hardaway Jr.,6-5,205.0,DEN,Guard-Forward,1610612743.0
201935,James Harden,6-5,220.0,LAC,Guard,1610612746.0
1630702,Jaden Hardy,6-3,198.0,DAL,Guard,1610612742.0
1641989,Elijah Harkless,6-3,195.0,UTA,Guard,1610612762.0
1631199,Ron Harper Jr.,6-4,233.0,DET,Guard-Forward,1610612765.0
203914,Gary Harris,6-4,210.0,MIL,Guard,1610612749.0
202699,Tobias Harris,6-8,226.0,DET,Forward,1610612765.0
1628404,Josh Hart,6-4,215.0,NYK,Guard,1610612752.0
1628392,Isaiah Hartenstein,7-0,250.0,OKC,Center-Forward,1610612760.0
1630573,Sam Hauser,6-7,217.0,BOS,Forward,1610612738.0
1641722,Jordan Hawkins,6-5,190.0,NOP,Guard,1610612740.0
1629637,Jaxson Hayes,7-0,220.0,LAL,Center-Forward,1610612747.0
1630165,Killian Hayes,6-5,195.0,,Guard,
1630703,Scoot Henderson,6-3,206.0,POR,Guard,1610612757.0
1641707,Taylor Hendricks,6-9,215.0,UTA,Forward,1610612762.0
1629639,Tyler Herro,6-5,195.0,MIA,Guard,1610612748.0
1627741,Buddy Hield,6-4,220.0,GSW,Guard,1610612744.0
1629312,Haywood Highsmith,6-5,220.0,MIA,Forward,1610612748.0
1628988,Aaron Holiday,6-0,185.0,HOU,Guard,1610612745.0
201950,Jrue Holiday,6-4,205.0,POR,Guard,1610612757.0
1641842,Ronald Holland II,6-8,206.0,DET,Forward,1610612765.0
1626158,Richaun Holmes,6-9,235.0,WAS,Forward,1610612764.0
1641747,DaRon Holmes II,6-10,225.0,DEN,Forward,1610612743.0
1631096,Chet Holmgren,7-1,208.0,OKC,Center-Forward,1610612760.0
1641720,Jalen Hood-Schifino,6-5,210.0,PHI,Guard,1610612755.0
201143,Al Horford,6-9,240.0,BOS,Center-Forward,1610612738.0
1629659,Talen Horton-Tucker,6-4,234.0,CHI,Guard,1610612741.0
1631216,Caleb Houstan,6-8,205.0,ORL,Guard,1610612753.0
1641724,Jett Howard,6-6,215.0,ORL,Guard,1610612753.0
1628989,Kevin Huerter,6-7,198.0,CHI,Guard-Forward,1610612741.0
1630643,Jay Huff,7-1,240.0,IND,Center,1610612754.0
1630574,Ariel Hukporti,6-11,246.0,NYK,Center,1610612752.0
1629631,De'Andre Hunter,6-8,221.0,CLE,Forward-Guard,1610612739.0
1630538,Bones Hyland,6-2,169.0,MIN,Guard,1610612750.0
1642345,Oso Ighodaro,7-0,235.0,PHX,Forward,1610612756.0
204060,Joe Ingles,6-8,220.0,MIN,Forward-Guard,1610612750.0
1627742,Brandon Ingram,6-8,190.0,TOR,Forward,1610612761.0
1631127,Harrison Ingram,6-5,230.0,SAS,Forward,1610612759.0
202681,Kyrie Irving,6-2,195.0,DAL,Guard,1610612742.0
1628371,Jonathan Isaac,6-10,230.0,ORL,Forward,1610612753.0
1631093,Jaden Ivey,6-4,195.0,DET,Guard,1610612765.0
1641713,GG Jackson,6-9,210.0,MEM,Forward,1610612763.0
1630543,Isaiah Jackson,6-9,205.0,IND,Forward,1610612754.0
